doc_text,image2text,speech2text
СОСКУФИЛСЯ И НЕ ХОЧЕТ ПРИЗНАВАТЬ 🤡,кидаю подруге неудачную фотку мужа,"Закрылка И фотку мою стынуло Иди на хуй Это не Россетия, так не выгляжу на самом деле Я Том Круз"
Саша Муратова @sasha_iz_elektrostali про счастливых людей 🥳   «Женский  стендап » в субботу в 23:00 на ТНТ,"l 7 ну, и я, честно, я до сих пор не знаю","Ну, я честно, я до сих пор не знаю, это моё внутреннее, самостоятельное решение купить квартиру или извне навязанное, вы не обращали внимания, что от нас от всех с детства все постоянно чего-то хотят. Всегда. Я вот думала, почему так, и извините, сейчас здесь кого-то расстрою, я нашла ответ на этот вопрос. Смотрите, нас всех, никого, с детства не учили быть счастливыми. Нас всех всегда учили быть нормальными. То есть, как все. Как будто у каждого из нас с вами в жизни должна быть обязательно одна какая-то хрень, которая, капец, как мешает нам всем счастливо жить. Там дети, ипотека, и все, и все это нет, и ты говоришь, ну хоть мужика секунд найди. А то ты что-то все время улыбаешь. Серьезно, аж даже улыбаться просто так не принят. У нас поговорка есть, смех без причин — признак дурачины. У нас, прикиньте, в России без повода просят улыбнуться в одном случае, чтобы подтвердить инсульт."
Умеете правильно спорить? #юмор #шутка # стендап  #психология,как спорить с женщиной ?,"Оказалось, что я даже спорю неправильно. Она говорит, высказывай всё через «я», используй «я-послание». А как? Нельзя сказать «я». Иди на х**."
"Я же прост пою, мне че попеть нельзя?",,"До всех посекла на нас Боясь усердных, И так бесстешно звучат До всех грустно, И до всех до одна волна Боясь волна, Я дыма видела тебя И обожала, обожала ветер Меняет направление, Боюсь, что потерял тебя За краем света, за краем света За солнцем Как нула через порточки Любой вешнёвой косточкой Спустить по ветру, спустить по ветру втай"
~    Гурам аэропортян,,
https://t.me/s/guramamaryan/2315  Гурам аэропортян    😂😂😂😂😂😂😂😂😂,,
У девочек все быстро меняется 😋🔥,я r не виделась с подругой 10 часов (спала) ее новости на утро:,"Ну мы сейчас живем вместе. В смысле, с пашей живешь? Да. Каким боком? Смотри, вот. И мы поженились. Офигеть."
У девочек все быстро меняется 😋🔥,я: не виделась с подругой 10 часов (спала) ее новости на утро:,"Ну, мы сейчас живем вместе. В смысле, с Пашей живешь? Да. Каким боком? Смотри хоть. И мы поженились. Офигеть."
"Пора строить планы на выходные 🐑  Отправь другу, который постоянно сливается. От такого приглашения сложно отказаться",,"Здорово! Один здесь отдыхаешь? Хоть пивка бахнем, а?"
"Да-да, Серега, так мы и поверили, что у тебя денег нет 🤓",". \"" э то ролексы",
"Пойму, что повзрослела, когда меня перестанет такое веселить… (Пока нет)",ngan ngua sau rang отте revents xylitol (keo gum khong duong huong blueberrymint 16:03 вспомнила как ты в детстве угорала 16: 03 хахахах 16: о 4 мне и сейчас смешно... 16: 04,
"Ну и где этому быть, как не здесь? )   Такими темпами скоро целый альбом насобирается 😎",смотрите в v к видео уз 5 друг мой,"Друг мой, посмотри, как тебе закат Ну это как бы с какой точки зрения Восприятие палитры зависит от психотипа и вообще настроения Да и в целом оценивать смысл нет Он субъективно всеми воспринимается Ведь все, что видим мы, это всего лишь свет Что от хрусталика в глазу отражается Косицын! Нету сил, открываю Я окно открываю Я за воздух вдыхаю Надо ж так задушниться Ром, привет!"
Ретроспектива про жену 2012-2015. Полная версия в моем сообществе ВК,,"Недавно мы с женой ходили на концерт группы «32nd to Mars» и «Джарда Лета». Билеты на этот концерт я подарил жене на день рождения. Впервые в жизни угадал с подарком. Правда, потом выяснилось, что я немножко переугадал. Потому что мы сидели в кафе после концерта, она говорит, «Стас, спасибо тебе огромное за этот концерт, я его увидела вблизи. Он такой потрясающий, он такой талантливый, он такой сексуальный. Ты, конечно, ничего не подумай, но я б ему дала». Это ужасно. Я офигел. Знаете, когда перестаешь втыкать в телефон и начинаешь слушать, что она говорит? Я говорю, «Как так-то?» Она говорит, «Ну, Стас, что ты хочешь? Джаред Лета — мой кумир». Я говорю, «Слушай, я освободил тебя от работы, я жду, пока ты самореализуешь, и я даю тебе деньги, я твой кумир. У нас дома должны висеть мои плакаты. Ты меня с работы должна встречать так». «Марина, успокойтесь». «А, да, я поможу! Я б ему дала!» Да ты дала уже, он ребёнку три года, всё."
Ретроспектива про жену 2012-2015. Полная версия в моем сообществе ВК. Ссылка в шапке профиля.,,"Недавно мы с женой ходили на концерт группы «32nd to Mars» и «Джарда Лета». Билеты на этот концерт я подарил жене на день рождения, впервые в жизни угадал с подарком. Правда, потом выяснилось, что я немножко переугадал. Потому что мы сидели в кафе после концерта, она говорит, что «Спасибо тебе огромное за этот концерт, я его увидела вблизи. Он такой потрясающий, он такой талантливый, он такой сексуальный. Ты, конечно, ничего не подумай, но я б ему дала». Это ужасно. Я офигел. Знаете, когда перестаешь оттыкать в телефон и начинаешь слушать, что она говорит? Я говорю, «Как так-то?» Она говорит, «Ну, Стас, что ты хочешь? Джаред Лета — мой кумир». Я говорю, «Слушай, я освободил тебя от работы, я жду, пока ты самореализуешь, и я даю тебе деньги, я твой кумир. У нас дома должны висеть мои плакаты. Ты меня с работы должна встречать так». «А-а-а! А-а-а! Марина, успокой... А-а-а! Я б ему дала!» Да ты дала уже, ону с ребёнком три года, всё."
https://vk.com/wall-225813819_456239042,,
Видели таких?)  @katiashmatia для тебя сколько угодно ТЫЩ МИЛЛИОНОВ МИЛЛИАРДОВ 🤘  #жиза  #патрики  #смешноевидео  #вайн,77,"Девушки, здравствуйте! Скажите, а сколько ваш мужчина должен зарабатывать в месяц? 700 миллиардов, 4840 миллионов, 697 тысяч минимум. А зачем вам столько денег? Ну как вот там... Косметолог, таролог, номеролог... Винеролог! ... на который виниры делает. А, да, мне тоже нужен виниролог. А вы-то что должны? Мы должны! Ничего никому не должны, мужчина! О, мы самопредаторщные женщины! Самодостаторные! Мы самодостаторные женщины! Мы самостоятельные, понятно? Абьюзер как вообще! Есть 75 рублей на метро? Нам не хватает денежков."
"@tanyabereza13 оч смешная, особенно сбоку 🤣 #дедищев #чабдаров #шевчук #муратов #комьюнити #гимнастика #reels",эксклюзивно в vк видео меня есть две маадшие сестры,"У меня есть две младшие сестры и мы все гимнастки. Потому что мы в 2000-ых занимались не тем, что прям хотели. Мы занимались либо тем, что рядом с домом, либо Баян этот ёбаный. Блин, это первый человек, от которого так круто слово ёбаный сбоку звучало. А может, пожалуйста, как ты подала вот этот изъебанный банан и сбоку, пожалуйста, так, как он увидел. Баян этот ёбаный. Она вот так сделала. У неё ушла ручка сюда. Я вот так сбоку смотрю. Хуёрт до сюда, рот и обратно. Это растяжка всё."
С добрым утром!,психолог ксения заплетина быть мамой - это .,"Мама! Эмм... Мама? Эй, мама, что ты делаешь? Мама, я хочу в туалет! Мама? Эй, мама, как ты выкручиваешь конденсат? Уходи из туалета! Мама! Мама! Уходи из туалета! Мама! Он разорвался со мной. Можешь спросить маме, где кетчуп? Мама, где кетчуп? Мама, сколько дней до моей биржи? Скажи маме. Мама! Мама! Эмм... Мама? Мама! Привет, милая! Привет, мама! У нас есть что-нибудь, что сказать."
Дотянуть бы до 36…,"в воспитании мальчиков нет ничего сложного регина ирина , 36 лет",
ПОЛНЫЕ ВЫПУСКИ В ШАПКЕ ПРОФИЛЯ☝🏻 Мария Маркова #маркова #мариямаркова #женский стендап  #женский стендап натнт # стендап  #женский стендап 5сезон #юмор,,"Когда было лет шесть, я ехала с мамой в автобусе, ко мне подсел дедок и сказал, хочешь, я научу тебя рисовать зайца. Я согласилась, и он меня научил, и я до сих пор помню, как рисовать зайца так, как он меня научил. Я не знаю, зачем он это сделал, но теперь у меня есть потребность передать это знание дальше. Сложно представить, что я подсаживаюсь какому-то ребёнку безнаказанно в автобусе, но мне неприятно, что моей маме было нормально. Она даже ему место уступила. Но я была любознательным ребёнком, я думаю, мама такая, ну, удачи мужик, посмотрим, кто кого. Ну и действительно, зайца мне понравился. Я говорю, а что вы ещё умеете? Кошку умеете? Он говорит, нет, кошку я не умею. Я говорю, а что вы умеете? Дельфин умеете? Жираф умеете? Сова умеете? Мышку умеете? Он говорит, нет, больше я вообще ничего не умею. Я говорю, как вы такой взрослый дяденька, и вообще больше ничего не умеете? Он расстроился, вышел на ближайшие остановки. Мама до сих пор уверена, что я обезвредила педофила. Но мамы, они вообще, родители вообще себя иногда ужасно ведут, они пользуютсят тем, что мы им доверяем. Мне друг недавно признался, что ему мама в детстве говорила, что на таблетках выемки это для того, чтобы отверткой винчивать их в детей, которые сами не хотят их пить. Моя мама, она до сих пор мне плетёт, она вообще без тормозов. Я недавно у неё спросила, говорю, мама, я родилась в том же роддоме, что и ты? Она такая, нет, а что ты хочешь найти свою настоящую мать?"
"Существуют не только стоп-слова, но и старт-слово",м интеровязь,"Серёжа, у меня сигаретка только, я уйду, мне под... Нету, иди давай домой. А, нету. По-про-ха-ем-се! Спасибо, Серёжа."
ПОЛНЫЕ ВЫПУСКИ В ШАПКЕ ПРОФИЛЯ☝🏻 Мария Маркова #маркова #мариямаркова #женский стендап  #женский стендап натнт # стендап  #женский стендап 5сезон #юмор,,свободу самовыражение но это уже был перебор но во всяких психологических пабликах написано что если женщина называет красные значит она хочет там внимания хочет соблазнения тут я знаю о чем говорю у меня две красной куртки и два красных пальтов как вы понимаете я более активно в зимнее время если это все сразу надеть это не просто жарко очень будет еще дети вокруг собираются ждут подарков худшее свидание вообще в жизни а если женщины которые пришли в красном сегодня с какими-то красными элементами выдержит давайте проверим как закончится ваш вечер а если свободный мужчина в зале похлопайте нечего ловить рекомендую оперу я вообще люблю петь но немногие любят когда я пою мне даже делали операцию на голосовых связках как-то и мне врач после операции запретил разговаривать две недели а потом я встретила человека которому тоже делали такую операцию и он такой да мне сразу разрешили разговаривать я подумала может мне не делали вообще никакую операцию просто мои родственники позвонили сказали может что-то сделать вообще мы не можем слушать его голосовые сообщения больше какую-то передержку для болтливых что-нибудь нам организуйте
ПОЛНЫЕ ВЫПУСКИ В ШАПКЕ ПРОФИЛЯ☝🏻 Мария Маркова #маркова #мариямаркова #женский стендап  #женский стендап натнт # стендап  #женский стендап 5сезон #юмор,,"мне мои портреты, и все хуже и хуже. Я не знаю, как это остановить. Я стала рисовать их в ответ и отсылать. Я считаю, это достойная месть. Я не умею рисовать. Но в школе у меня, конечно, было рисование. Если помните, в школу просили приносить кисточки из белки. Там было написано... Эти люди помнят. Там было написано белка и номер. Я только сейчас стала задумываться, а как же их добывают? Сразу скажу, финические белки никак не страдают, но у них явно есть психологическая травма после этого. Им с хвоста срезают волоски, потом отрастают новые. Мне, конечно, интересно, как выглядит этот человек, который этим занимается. Он же явно дежурит ночью у дупла, ждет, пока белки уснут. Потом срезаются им хвосты, и утром облезлые белки просыпаются и такие, да что ты будешь делать? Кто у нас сегодня был на входе, Светлана? Ты опять уснула? Совести у тебя нет, над нами весь лес смеяться будет. А потом идешь по парку с орешками, думаешь, что белки шарахаются? А они такие, ну конечно, чертовы художники, я знаю, у меня в детке уже не шубка, а жилетка. Я думаю, они мимо притяковки когда пробегают, просто плюют."
"Нельзя просто так взять, и выбрать только одну процедуру в @la__clinic  Наш пациент @achekhova убеждается в этом каждый раз 😅🩵",",","Да, дорогая, встречаемся через два часа Да, я только заеду на Капельницу Да, в Лейтен-Микс, ненадолго, только на Капельницу Да я успею, я только на Капельницу Здравствуйте, я на Капельницу О, мне бы ещё обделивания сделать Эрэпристин, не надо А вы мне под глаза что-нибудь уколете? Дорогая, тут такое дело... А ты завтра что делаешь?"
"Я тоже, кстати, там работала. Помню, после каждого матча к нам в микст  дисциплинированно приходил Павел Дацюк и все постоянно спрашивали его про возможное завершение карьеры. И вот после финала он наконец-то ответил: « Если я уйду, то кто вам интервью давать будет? 🤣»   https://t.me/lysenkovtv/45750  П Хоккей и LYSENKOV TV 🔥 / НХЛ, КХЛ, спорт Совершенно мощная новость - Роман Ротенберг сказал, что могут снять фильм о победе хоккеистов на Олимпиаде-2018. И главную роль Олега Знарка исполнит Владимир Машков.  Я готов сняться там в толпе журналистов из микст-зоны, я ведь тоже работал на Играх в Корее.  👇👇👇  https://matchtv.ru/hockey/matchtvnews_NI2084360_Roman_Rotenberg_My_khotim_snat_film_o_zolote_Olimpiady_2018_Mashkov_mozhet_ispolnit_rol_Znarka 🔗 https://t.me/lysenkovtv/45750",#русте nuum роман ротенберг: «мы хотим снять фильм о золоте олимпиады-2018. машков может исполнить роль знарка»,
"Знакомьтесь, мой бухгалтер! Легенда формулировок! Такого бы Блиновской в свое время!!!","анна бухгалтер карина, добрый w день. в время расставаться с деньгами сейчас",
Когда ну очень короткая юбка и ты пытаешься красиво усесться☺️   Попадали в такую ситуацию?😁  © Ляйсан Утяшева,когда ищешь удобную позу в короткой юбке,
"Переваривал тут новость о том, что Фадеев решил отсудить псевдоним у Глюкозы  Может тоже подать на нее в суд за использование моего фирменного жеста?",я 1 ` ~ ;,😎
# стендап  #женский стендап  #тестнагены #гены #прикол #смешно #тнт # комик ,th генетический тёст,мы создаем эти тесты для того чтобы узнать что мы какие то особенные да там ты сдала этот тест и узнала что ты торга аренда а я сдала этот тест и у меня нашли гены неандертальца я думаю но теперь хоть понятно что я так часто ношу гаринг записывает меня меня единственное радует то что мужики редко эти тесты сдают да потому что для них это было бы лишнее оправдание типа наташ да я часть семьи то ушел потому что мы монголы кочевой народ
Вошедшее. Про родственников. #иринамягкова #мягковаирина #вошедшее #женский стендап  #мягкова # стендап  # стендап ,,"Я часто рассказываю какие-то шутки про своих родственников, и мне начали спрашивать, типа, они не обижаются? Нет, не обижаются. Если говорить, что эта история произошла не с ними, а с одной твоей знакомой. Значит, недавно у одной моей знакомой, которую тоже родила моя мать, начался кризис среднего возраста. Как я это поняла? Я звоню, говорю, ты чего такая грустная? Она говорит, да я экзамен по травничеству не сдала. Трех баллов не хватило. Я говорю, почему? По какому на хер травничеству? Ну, просто, чтобы вы понимали, мы всей семьей думали, что она юрист. А она, кажется, все это время училась на волшебницу. Еще и, сука, плохо училась, но не сдала. Что это там, завалили на полыне, блин?"
Незаменимых не бывает говорят) #приколы #смешное видео,когда твои 100 тюбики способны 142 17 90 140 28 только на переписки 150 325 211 . 180 225 181 270 ~ 160 200 183 192 360 180 211 270- 180 190 177 200 163 183 . 175 180,"Я-то, блять, высохну. А вы как были, пидорохи, тогда останетесь."
Достаточно загадочно? 😂 #ильясоболев #павелволя #шоуволи,актёр-загадка,"За самую загадочную актерскую игру награждается Илья Соболев! АПЛОДИСМЕНТЫ АПЛОДИСМЕНТЫ АПЛОДИСМЕНТЫ СМЕХ Я хочу сказать спасибо кое-кому. Моя загадочная игра действительно была загадочной. Хочу рассказать одну историю. Кое-кому не подошел кое-кто. Кое-что предложил, я кое-что сказал, и то, что получилось. Мы вместе работали от кое-кое где. И когда мне сказали кое-что сыграть, я кое-как сыграл. Я вообще благодарен кое-кому, кто живет на небесах. Мне кое-куда надо. Кое-что вам говорю. АПЛОДИСМЕНТЫ Кое-что я хочу сделать с Илья. Сейчас я исчезну. Закройте глаза, и я окажусь в кресле. Раз, два, три, закрой. Илья, невероятная игра."
Ну это ж надо так спалиться 🤪,"q 11 мужики, вы еще сами палитесь так. я однажды выложила фотографию, и мне один мужик в комментарии, @ он мне написал: «я б тебя всю ночь драл»",
Аахххахаах,"не откладывай ничего на завтра откладывай на послезавтра, чтобы иметь два свободных дня.",
камеди вумен💯,,
камеди вумен💘,,
камеди вумен🤪,,
камеди вумен⚡️,,
камеди вумен🥰,,
камеди вумен💥,,
камеди вумен,,
камеди вумен🩷,,
Спорт решает все бытовые неудобства!  Вас тоже раздражают подобные краны в самолетах? 😂,,
"Номер ""Кошка"" Наталия Медведева , #Камеди вумен Целиком в дзене, ссылка в сторис","th номер \"" кошка \",Котик Череп Наташа Максим
камеди вумен,,
"""Настоящий мужчина"" Камеди вумен",,
"""Митя торопится, девочки ничего не успели"" Камеди вумен",,
"""Девочки зовут Митю с собой на девечник"" 1 часть Камеди вумен",,
В этой жизни каждому надо сделать выбор «личная жизнь» или «приколы»..,"вас в наличии имеется молодой человек? в наличии нет, сейчас посмотрю на складе",
"""Потеряли Митю и решили заменить"" Камеди вумен",,
"""Плейбойские зайчики"" Камеди вумен",,
"""Посиделки с Советским шампанским"" Камеди вумен",,
"Признавайтесь, у кого так же?) . . . #приколдня #лиляаверина #стенапвюбке # стендап  комик  #рилс #юморпромужа #приколыпромужиков #мужена #лиляаверина стендап  #шуткаюмора",ленивый муж «,"Для моего мужа непонятно, зачем выходить из дома, если он не горит. Я объясню. Его как-то выпищало погулять, он на следующий день взял отгул, чтобы отлежаться."
Кто не назовет тот лох,,"Назовите за 30 секунд 10 песен Вани Дмитриенко. Погнали! А по гуглу можно? По гуглу? Да. Да? Вы не к тому поколению, наверное, обращаетесь. К Гринеру Юпиту. Давай. Стерва, дыши. Я только одну, наверное, знаю, что ты сейчас сделаешь для меня кубики. Ну, может быть, молодой человек, извините, помогите, пожалуйста, нам. Нам нужно 10 песен Вани Дмитриенко назвать. Молодой человек, может, вы подскажете 10 песен Вани Дмитриенко? Я не знаю. Ну, тоже. Здравствуйте. Здравствуйте. Здравствуйте. Как вы поняли, вы же его не знаете. Я по телевизору его вижу. Можете помочь? 10 песен Вани Дмитриенко назовите. Лего, 36, 6, знаю. Ага. 31 весна, знаю. Прикольный трек, кстати, такой хороший. Я только одну знаю, но я не помню, как он называется. Ну, загуглите в интернете. Я поняла, очень прикольно, да? Какой-то передача, вы чью-то песню перепевали, как это, вот мне очень понравилось. А, это ты. У Гринера Юпитер, да. Да, да, да. Ну, я не понимаю, что это. Ну, я не понимаю, что это. А, это была музыкальная эрудиция, спасибо."
"Хемингуэй написал самый короткий драматический рассказ, я снял самый короткий драматический фильм ""САНЯ"" #дедищев #саня #reels",ее 1 а st nn ation,"Саня, уходи! Блять! Саня, беги, бля! Саня, ох! Да беги, ёпата ж! Бля! Беги! Бля, как там Саня? Блять, как там Саня?"
"Гутен морген, полиглоты",,"У нас, на самом деле, очень плохой английский. Я имею в виду, мы, ты, я, вся славянская мира. Да, мы должны это принимать, потому что вы когда-либо пытались практиковать английский между русскими, быть русским в России? Я имею в виду, не как сегодня, но в реальной жизни это самый плохой опыт, который можно получить. Во-первых, половина ваших друзей всегда спрашивает, «Можем ли мы практиковать английский вместе?» А половина ваших друзей отвечает, «О нет, я училась на школе на немецком». Вы думаете, «Окей, значит, вы знаете немецкий?» «О нет, конечно нет! Конечно нет! Нет, это значит только, что я не знаю двух языков!» Да, я знаю свои ограничения."
Вошедшее. Про друзей  комик ов #иринамягкова #мягковаирина #вошедшее #женский стендап  # стендап  # стендап  #мягкова,в 2,"Я ведь у меня много друзей мужчин, да? Я с ними дружу. И когда-то дружба перерастет во что-то большее. А этого не произойдет точно. Потому что все мои друзья-мужчины — это  комик и. А все  комик и — это бабники. Да, к сожалению, все. Ну ладно, не все. Есть те, которые до своей популярности женились, сейчас очень грустно шутят про своих жён на ТНТ."
Вошедшее. Про друзей  комик ов #иринамягкова #мягковаирина #вошедшее #женский стендап  #мягкова # стендап  #взрослая,в 2,"Я ведь у меня много друзей мужчин, да? Я с ними дружу. И когда-то дружба перерастет во что-то большее. А этого не произойдет точно. Потому что все мои друзья-мужчины — это  комик и. А все  комик и — это бабники. Да, к сожалению, все. Ну ладно, не все. Есть те, которые до своей популярности женились, сейчас очень грустно шутят про своих жён на ТНТ."
Мда. Вот это начало сезона у «Рубина»🫠,фк «пари ны» arra cloral :kar giora 119 28 08,"Валк попростреливает, никто совершенно не держит игрока в паре ИНМ Ну а дальше мяч отскакивает от капу"
"Вы тоже удивились, что Никита лично пришел? #оскар #словопацана #павелволя #соболев #кощей #шоуволи",получил оскар,"Дамы и господа, мы вас приветствуем на церемонии вручения Оскара! Итак, за лучшую пародию, на Никиту Калагриеву, сатюретку получает Илья Соболев! Да! Да! Да! Да! Зачем, зачем ты хлопаешь? Зачем охлопаешь? Да! Да! Я здесь! За эту стойку стою! Я все Оскар, но Оскар все мне! Это не я получил Оскара, это Оскар получил меня! Я специально для этого праздника заделал дырочку! Ненавизлю кино! Взял прошлую премию! Никита, один вопрос. Да! Ведущему должно быть страшно? Должно быть страшно всем! А потом я извинюсь!"
