doc_text,image2text,speech2text
"Медиафутбол. В грядущем сезоне на последние 2 места в претендуют сразу 6 команд. Лотус, Эгриси, Рокеты, Рома, Народная Команда и Тандем.   Я не буду принижать и без того скудные аргументации других команд, просто 10 важных фактов о «Тандеме» относительно остальных кандидатов.  ▪️Лучшие по спортивному принципу.  (В дебютном сезоне прыгнули в 1/4)  ▪️Обыграли грандов медиафутбола.«Амкал», «10» и «Родину Медиа»  ▪️Все поражения в сезоне либо в 1 мяч, либо в послематчевой серии.  ▪️Медийные играют в составе. (Зириков, Дьяков, Тигиев, Чуперка, Пилиев, Блатов, Казанков, Давыдов, Садаев)  ▪️Новые потенциально яркие лица. (Олег Олег, Шаба, Сэк, Бьютифул)  ▪️Узнаваемые личности в команде. (Гар, Дурасов, Черданцев, Ильдар Автоподбор, Игорь Колыванов)  ▪️Самые большие просмотры. (А что вам мешало придумать новые форматы? Или заинтересовать Ильдара медиалигой, приводя вместе с ним новую аудиторию? Ничего.)   ▪️Регулярный разнообразный свежий контент, новые форматы и планомерный прирост подписчиков.   ▪️У Тандема нет KPI, команда независимо существует на частные деньги. Контента ради контента нет. Делаем то, что нравится и работает.  ▪️Народное голосование.  Исходя из открытой информации, по всем ключевым показателям, не брать «Тандем» в кубок лиги - решение, мягко говоря, сомнительное. Но есть и закрытая информация. Кажется, именно она станет решающей. А может и нет, жизнь - прикол.",` l 2 и^атему ом] vк ви;,
"Николич объяснил отсутствие Чалова и Зделара в составе «ротация, концентрация на игре». По Чалову понятно, но вот Зделар… Второй тур кряду. Сделаю предположение, что и у серба есть вариант покинуть ЦСКА на очень неплохой контракт в другую страну.  Есть варианты куда?😏",,
"Уже в это воскресенье! Смотри «Химки» - «Спартак», только в подписке «Матч Премьер» на сайте и в приложениях «Матч ТВ» Реклама. ООО «НСТ» ИНН: 7726341892",18+,"Взлеты и падения, голы и спасение, радость побед и горечь поражений. Всё то, за что мы любим футбол. Смотри мир российскую премьер-лигу с подпиской «Мач-Премьер» на сайте и в приложениях Мач-ТВ. Продолжение в 3 части"
"Еще раз!!! Олимпиада - это прекрасно!!! Это спорт, радость и жизнь!!! Ура, товарищи!!! ❤️ Поддержим наших спортсменов!!! 💪🔝",,
"https://t.me/water_match/2757 За Сомова!!! За Спорт!!! За Россию спортивную!!! ❤️  П Водный Матч! Евгений Сомов после прохода в полуфинал Олимпиады:  — Я кайфую вообще от всего. В принципе проплыл нормально, тем более что я не так давно вернулся к тренировкам.  🎙 — Финал по силам?  — Вполне.  🎙 — 50 метров кролем поплывете?  — Да. Готовлюсь плыть. Мне сказали, можно взять еще одну дистанцию, решил плыть, — передает слова Сомова корреспондент «Матч ТВ».  @water_match  📷 Матч ТВ 🔗 https://t.me/water_match/2757",992 7112021 paris 2021 paris !,
"Давайте последим за судьбой Бенджамена Ливидикоса из клуба Престон Лайонс. Это в Австралии, если что. Он пропал прямо во время попытки сохранить мяч в поле.",walt,
"https://t.me/s/seregina_on_air/5244  Через несколько часов откроются Олимпийские игры в Париже. То неловкое чувство, когда официально игры ещё не стартовали, но скандалов уже тьма 🙈  — Первыми решили развлечься организаторы футбольного турнира. Матч Аргентины с Марокко закончился мощным шоу: гол аргентинцев, фанаты и полиция на поле, два часа команды тусят в раздевалках, спасительный мяч Аргентины отменяют, сборные выходят доиграть 3 минуты Марокко побеждает. Аргентинцы в бешенстве)   — До кучи у нападающего аргентинцев Алмейды украли кольцо, часы и другие личные вещи;  — На автобус сборной Австралии по велоспорту напали, украли личные вещи спорстменов и экипировку;   — Спортсмены жалуются на нехватку еды в олимпийской деревне, особенно, яиц и курицы. От комнат тоже не в восторге: 12 квадратов на двоих, один санузел на две комнаты, картонные кровати, телевизоров нет. И кондиционеров нет – забота властей об экологии 🙂  — Саму олимпийскую деревню возвели в Сен-Дени – одном из самых бедных и криминальных районов страны. И что же может пойти не так?   — У легенды бразильского футбола и экс-тренера ЦСКА Зико спёрли портфель, в котором были часы Rolex, бриллиантовое колье и наличные. Ущерб около €500 000.   — Сегодня же произошёл крупный сбой в движении скоростных поездов из-за поджогов на путях и перерезанных кабелей. Отмены и задержки могут коснуться до 800 000 пассажиров в ближайшие дни.   Зато Снуп Догг факел пронёс 🔥    Есть на Олимпиаде и крутые истории!   36-летний французский паралимпиец Кевин Пьетт в возрасте 11 лет попал в аварию и у него парализовало ноги. Парень нашёл в себе силы вернуться в спорт, теперь выступает в качестве параатлета в различных видах. А ещё Кевин вошёл в историю, как первый участник эстафеты олимпийского огня, пронёсший факел в экзоскелете 💪  Как же он счастлив 🥹",,
"zanindima https://t.me/zanindima/400    Вот я был уверен почему-то, что начнется Олимпиада, и ничего не поменяется. Ну идёт она и идет.  А нет.  Сегодня листал видосы  в офиц приложении, в телеграмчике ленту мотал, смотрю на все - и прям так грустно стало.  Все же это помнишь: толпы зрителей, журналистов, стильные арены, внимание всей планеты, чувство причастности к чему-то грандиозному. Но самое главное - спортсмены, вся мировая элита. Одних трясет, другие, наоборот, на уверенности; сморят друг на друга, все заряжены так, что напряжение в воздухе пощупать можно, там от людей дым идёт.  За каждого из наших ты переживаешь как за родного.  У многих всего один шанс в карьере и вот они приехали им воспользоваться на полную.   Ты стоишь рядом, видишь это всё и понимаешь величие каждого момента.  На самом деле сложно принять, что эта вечеринка пройдет без нас.  И да, я верю, что мы все обязательно вернемся туда снова.   А пока давайте за тех 15 человек, кто есть там от России, притопим от души. Им капец как тяжело будет, но они уже красавцы.",,
"Второй тур и второй прогноз из стана соперников Динамо. Локомотив - клуб популярный, у него достаточно много разных каналов, которые ведут болельщики.  Первый, к кому я обратился, - Александр Иванов, он же Нежурналист Иванов.  В своем канале говорит четко, критично, взвешенно, независимо о проблемах и достижениях любимого клуба. Субъективно, порой? Да; ну а как иначе. Всегда читаю, чтобы быть в курсе разных точек зрения на происходящее у соседей.  Подписывайтесь на Иванова, слушайте железнодорожный расклад перед дерби, а в комментариях уже по традиции оставляйте прогнозы на счет сегодняшний и авторов голов.",,динамовцы всем привет уже через несколько часов нас ждет матч тура я бы хотел поделиться с вами впечатлениями ожиданиями от игры глазами болельщиков локомотива и с перспективой железнодорожного клуба так вот у галактионова большие проблемы с составом вошли в сезон недоукомплектованными перешли на игру в три центральных защитника немси морозов и сельянов как мы видим в матче с акроном пока монолитом обороны еще не выглядит такие же проблемы испытывали и в товарищеских встречах предсезонных но в динамо проблем в обороне не меньше два девятнадцатилетних парня фернандес травмирован тоже опорный фомин удален и ряд игроков не вернулись из сборных включая бальбуэна важнейшего и здесь конечно у локомотива есть перспектива воспользоваться не готовым к таким удручающим потерям составом динамо на мой взгляд в целом одним из главных противостояний этой встречи будет противостояние тренеров если у лички проблемы локальные я уверен что к следующему матчу команда будет уже в другом составе в другом составе подойдет к следующему матчу то у галактиона проблемы фундаментальные но так как мы говорим о отдельно взятой сегодняшней встрече то здесь конечно же у локомотива появляются шансы шанс как правильно говорят тренер появляется у молодых игроков которые готовы и должны заявить о себе здесь и сейчас в первую очередь я говорю об атракове на старте карьеры для него по большому счету это первый но матч против такого грозного соперника как динамо батраков сейчас отвечает за центр поля в отсутствие жима лидии на миранчука и глушенкова альтернатив ему нет и соответственно от его игры будет зависеть очень много но кроме того галактионов я думаю сыграет вторым номером и попробует разорвать оборону динамо на контратаках пользуюсь оперативным простором собственно во многом именно такая тактика сработала с акроном за два центральных защитника акрона располагались высоко и далековато друг от друга получили три гола могли получить еще несколько посмотрим как будет строить свою игру и личку при наличии беталейн гамале которые являются такими стержневыми футболистами одни из лучших в лиге играть вторым номером и дома вряд ли будет личкой соответственно это шанс для локомотива кроме того даса правый защитник даса я помню как его проходили очень здорово несколько раз футболисты локо во втором тайме весеннего очного матча с динамо и тут же будет пеняев да понятно что пеняев на скорость может повозить скажем так дасу воробьев против двух девятнадцатилетних воробьев сейчас в отличной форме с отличным настроением вошел сезон одной из главных надежд болельщиков локомотива как бы странно это не звучало для парня который сыграл всего один матч так что друзья у локомотива есть перспективы в этом матче есть проблемные зоны соперника которыми хотелось бы воспользоваться нам остается наблюдать перед своей командой ждать классного матча с большим количеством голов всем удачи здоровья и добра
Константин Генич к Winline Матч Тура готов 👌,,"Всего в РПЛ «Локомотив» и «Динамо» провели между собой 64 матча. Кто побеждал чаще? Учитывая смутные времена, которые переживала московская «Динамо», мне кажется, более стабилен был «Локомотив». Ласьков, Смолов или Миранчук? Кто лучший бомбардир в истории противостояния? Ну, Федя Смолов играл и за ту, и за другую команду, наверное, забивал и тем и другим. Поэтому хочется сказать Ласьков, но скажу Смолов. Чем закончился последний матч РПЛ между этими командами? Ну, это легко. Этот матч я комментировал. 2-а-один победила московская «Динамо». Бетелло, Тюкавин и Фомин. Кто из них не забивал «Локомотиву»? Бетелло забивал, как раз-таки я комментировал. Тюкавин забивал, по-моему. Фомин. Личко против Галактионова. У кого больше побед друг над другом? Ну, учитывая, что Личко еще тренировал Оренбург, Галактионов в АХМАТе был в Тереке. Личко."
"Динамо-Локомотив.   Лето, чемпионат Европы по сути не дал отдохнуть от футбола, пока втягиваемся. Какого-то большого ажиотажа нет, хотя играют третья и четвертая команды прошлого сезона.   А зря - обе команды выдали зрелищные стартовые встречи. Есть все основания предполагать, что сегодня будет по-настоящему интересно. Если еще не определились, мой совет - надо идти.   Каждый третий из вас в голосовании за главное событие игры с Факелом отметил быстрый гол Лепского. С Воронежем действительно очень помог, но Локо умеет отвечать ударом на удар. В атаке у соперника теперь Воробьев; помните, как он прощал Динамо в первом тайме апрельского матча в Оренбурге?  Полгода назад победа над Локомотивом дома позволила Динамо набрать хороший ход и подумать о высоком.   И теперь это один из важнейших с психологической точки зрения матчей. Сможет ли команда без целого ряда футболистов основы продолжать брать максимум от сезона?   Если атака будет справляться с голевыми моментами, как в матче с Факелом, то серьезно облегчит жизнь обороне.   Думал сделать опрос на тему, «кто заменит Фомина», но понимаю, что Чавес даже в неидеальном состоянии - главный кандидат. Шансы Гагнидзе и Кутицкого, очевидно, ниже.  Думаю, вполне среди кандидатов мог бы быть и Назаренко, но пока, видимо, не доказал.   Жду Скопу в основе и с работой над ошибками и состоянием.   Жду Тюкавина, разбирающегося по традиции с Ньямси.   Жду Гладышева, для которого каждый матч - шанс остаться в старте на следующий.   А чего ждете вы от первого дерби сезона?",,
"Обращаю внимание спартаковских болельщиков, что еще один игрок завел свой телеграм-канал. Ансель Галимов рассказывает о том как проводит время до начала сборов, а с началом сезона будет еще больше интересного контента.   Уточнил. Канал форвард ведет действительно сам.  П Ансель Галимов 🏒 #25 Хочу поблагодарить всех участников мастер-класса в Клину, который, надеюсь, принес всем ребятам и позитивные эмоции и практическую пользу. Спасибо Главе города Алене Дмитриевне Сокольской за теплый прием и за заботу о юных хоккеистах.   Отпуск завершается, уже на следующей неделе у нас начинается предсезонный сбор, но я обязательно продолжу проводить мастер-классы в Москве и регионах в следующем межсезонье. 🔗 https://t.me/AnselGalimov/10",,
"Сегодня на играх в Париже в борьбу за медали вступают наши спортсмены!!! Велосипедисты Дронова и Сырица!!! Пловец Сомов!!! Теннисисты!!! Вперед, ребята!!! Страна с вами!!! Умные и добрые люди, по настоящему любящие Родину!!! Пожелаем удачи нашим олимпийцам!!! 💪❤️",,
"bc_pari https://t.me/bc_pari/8825    Что ждёт нас на этих выходных? Узнаём у Ольги Петриковой в новом выпуске «Держи PARI», а ещё она по секрету расскажет на что ставить:  ⚽️ РПЛ | Пари НН — ЦСКА  ⚽️ РПЛ | Динамо — Локомотив ⚽️ ОИ | Франция — Гвинея 🤼 UFC | Леон Эвардс — Белал Мухаммад  ⚽️ РПЛ | Химки — Спартак  😎 Подписаться на PARI",,"Ну что, соскучились? Как вам начало нового сезона в РБЛ? пишите свое мнение в комментариях, а я, Ольга Петрикова, пока буду говорить о новых предстоящих ивентах. Суббота начнется для нас со второго матча, второго тура, где пари НН примут у себя от Финес Камп. Джигародцы явно собираются улучшить результат прошлого розыгрыша российской премьер-лиги, чтобы не страдать на финише, как в прошлом сезоне. Я лично от москвичей жду интересных выступлений, поэтому поставлю я на них. Чуть позже смотрим Дерби «Динамо» против «Локомотива». Верю здесь в «Железнодорожников», которые продолжат свою серию побед. Жду от команд аж два гола в первом тайме. Ну а общий счет по итогу встречи будет в пользу «Локомотива». Вечером можно поставить на Францию. Фавориты в борьте за золото футбольного турнира Олимпиады в Маче де Глиней. В принципе, исход здесь ожидаем, но почему бы не пожелать дистанционной игры? Ну и во время футбола должно же быть какое-то разнообразие. Бои Леона Эдвардса и Билала Мухаммада в ночь с 27 на 28 июля. Билан уверен в своей победе, хотя не выступал больше года. А вот Леон успел за это время второй раз защитить титул. И как думаете, кому, а главное, что поможет? Практика или уверенность в победе? В воскресенье «Хинкес» играет против «Спартака». Игра в Оренбурге показала, что проблемы «Спартака» в обороне никуда не исчезли. Да и бывшие игроки «Спартака» Мирзо Труденко Постараются побольнее уколоть недавно одноклубников. Здесь предпосылки на эспорт, что обе забьют. Так что воспользуюсь случаем и вам совет."
"Друзья, как вы знаете у нас есть Fonteam - команда, которая запускает социальные проекты при поддержке российского спорта. Так вот,  наш ПЕРВЫЙ проект вашему вниманию! Посвящен он женскому футбольному клубу «Атланта» из Череповца. Команда прошла  ребрендинг и получила новые возможности: у девушек появился  современный инвентарь, бюджет на аренду тренировочного зала и поездки на соревнования, а также новая форма — сшитой по современным спортивным технологиям и в обновленном дизайне.  А еще девчонки завтра приедут в гости на Fonbase 🤝 ⚽️  Девочки, поздравляю и желаю вам только побед 😍",fange/ fonвет ` fonbe,
"russiancup_official https://t.me/russiancup_official/10949    Ветеринар, инженер тепловой электростанции и организатор детских праздников 👨‍⚕️🏭🎈  ❤️ Это «Оргэнергострой»! Это Димитровград!   Любительская команда из Ульяновской области дебютирует в FONBET Кубке России уже 30 июля матчем против тольяттинской «Лады» 🚙  Накидайте этим бравым парням реакций ❤️",в s 1 7,всем привет я александр угнов я детский организатор праздников тренер я никита данилин моя должность я воспитанник я данил окурочкин я ветеринарный врач хирургортопед владислав работаю в жкх начальник участка вдо обслуживаю дома делаю людям для страну в пару работая ведущим инженером в отделе ремонтов на тепловой электростанции в городе димитровград я шаге к фон учитель физкультуры в лице ядерных технологий не антона дмитрий помощник тренера по футболу две тысячи десятого две тысячи одиннадцатого годов рождения в академии футбола там скоро мы дебютируем в фонбет кубке россии в составе команды энергострой
"В этот день немного грущу из-за Олимпиады. Поверьте, энергетически они круче Евро и ЧМ. Ну, для меня.  Вся энергия концентрируется в одном месте, а не рассеяна по городам и даже странам. Мультикультурность, разные страны, люди, болелы, разные континенты. Про участников-камикадзе, у которых самый главный старт за 4 года, тыщу раз писал. В моём любимом дзюдо главное событие карьеры может продлиться 10 секунд. Вышел, проморгал - всё, иппон. И напряжение у людей бешеное: во многих видах героем страны и мировой звездой можешь стать только здесь.  У меня были две Олимпиады с места: лондонская и сочинская. В 12-м комментил дзюдо, борьбу, тхэквондо, в 14-м - прыжки на лыжах с трамплина. В Лондоне вообще повезло комментировать схватки приятелей, с которыми татами делил. Те краски - одни из главных в карьере, пропуск остальных поездок - боль.   Поэтому я даже не представляю, какое это профессиональное горе для наших спортсменов - потерять Олимпиады. Инал Тасоев, например, лишился шанса убрать легендарного Тедди Ринера у него на родине, в Париже! А ведь мог бы.  Очень жаль спортсменов. Жаль вот такие Олимпийские Игры. А тем, кто добрался до Парижа - удачи. Это память на всю жизнь.  @shhhnyakin",pvw,
"Позвольте мне добавить немного интриги завтрашнему суперспринту в Демине (лыжероллерный чемпионат России)  А представьте, финал Устюгов - Ретивых 😳😂 Вот это сильно будет 😂 Кто не знает, в спринте на 200 метров старт в плей-офф - парами. 1/8, 1/4, 1/2 и финал. Пацаны завтра оба стартуют. И кто знает…  Смех смехом, а в Хантах у Сереги получилось. Да, трасса была другая - с подъемом, плюс - дождичком смочило. Но Серега некоторые забеги плей-офф выиграл еще до старта. Психологически 😜 Глебан - гений тактики, тут вроде ему и разгуляться негде. Но он еще и резкий. Вот и посмотрим на это еще разок.   В прошлом году Устюгов обыграл всех кроме Димы Воронина. Воронин - действующий чемпион.   И еще: Устюгов единственный в своем роде кому из топовых (оч) «снежных» лыжников удалось взять медаль чемпионата России в суперспринте на скоростных роллерах",crop фосагро фоск (окро тюменская областная федерация лыжных гоноку биатлона f me/ ам romanov,"С нами память сидит устала, А в руке ей пламя свечи. Ты такой хорош была, Посмотри на меня, не молчи. Дырки чайку на белой стене, Котовый ночью на дне. Нарисуй, что нужна от меня, И с утра прощай, веком."
