doc_text,image2text,speech2text
КАКАЯ КАРТА УКАЖЕТ НА МАСИКА? 🥰  🎁🔥 РАСПРОДАЖА КУРСА «ОРАКУЛ ЛЕНОРМАН. БАЗОВЫЙ КУРС» В РАССРОЧКУ 👉🏻 http://alexeygrishin.com/lenorman_base,масик это ..,"Масик это нееба** А какая карта будет подсказывать современное значение? Масик, Штрих, Скуф? Давай попробуем, кто у нас первый? Давай начнем с Масика Кто это у нас? Масик это классный, здоровый, адекватный парень, который готов к отношениям, к развитию То есть короче в норме он Нееба** Да Тогда в Оракуле Ленорман Масика будет символизировать карта мужчины В картах второго Масик это император, четвертый старший Аркадий Ну или любой из королей"
Сегодня (26.07) премьера в 18.00 (мск) - долгожданный выпуск с [id1868874|Евгений Егоров]   https://youtu.be/a4HBdcgpjzI?si=kRUzKulyQ2GP_8fp,,
Отзыв от Юлианны🙏🏻🩷  🎁🔥 РАСПРОДАЖА КУРСА «ОРАКУЛ ЛЕНОРМАН. БАЗОВЫЙ КУРС» В РАССРОЧКУ 👉🏻 http://alexeygrishin.com/lenorman_base  *Деятельность компании Meta запрещена на территории Российской Федерации и признана экстремистской.  Прикреплённые ссылки: 🔗 http://alexeygrishin.com/lenorman_base,,
"Таро-прогноз на 26 Июля – Тройка Жезлов.   🔮 Совет: Тройка Жезлов – карта роста, стабильности и успеха. Чего бы не касался вопрос – личных отношений, карьеры, духовного роста – эта карта советует продолжать двигаться вперед, выходить за пределы нынешних границ. По этой карте идут вдохновение и реализация идей, они обретают форму и получают направление. Она обещает благополучный исход дела.   💰 Деньги: Стабильное положение и дальнейшее процветание. Успешное решение вопросов. Прекрасные возможности для дальнейшего улучшения ситуации. Финансовые успехи благодаря разумному поведению. Тройка Жезлов  означает коммерческий успех, и вообще показывает человека, занимающего прочное положение и имеющего надежный тыл.   🩷 Любовь: Тройка Жезлов – та карта, которая традиционно считается залогом счастья. Она говорит, что печали и неприятности останутся позади, раскрываются все возможности для построения благополучной жизни, а в отношениях все будет хорошо. Весеннее настроение и сексуальная гармония.  🎁🔥 РАСПРОДАЖА КУРСА «ОРАКУЛ ЛЕНОРМАН. БАЗОВЫЙ КУРС» В РАССРОЧКУ 👉🏻 http://alexeygrishin.com/lenorman_base",,моя волшебная всем привет желаю прекрасного дня и давайте начнем его с вашей самой любимой рубрики конечно же с карты дня мои волшебные всем привет ну что давайте заглянем в карту сегодняшнего дня и это тройка жезлов подробное описание которой я уже разместил в своем официальном телеграм канале по ссылке в этой истории
Отзыв от Юлианны🙏🏻🩷  🎁🔥 РАСПРОДАЖА КУРСА «ОРАКУЛ ЛЕНОРМАН. БАЗОВЫЙ КУРС» В РАССРОЧКУ 👉🏻 http://alexeygrishin.com/lenorman_base  *Деятельность компании Meta запрещена на территории Российской Федерации и признана экстремистской.,"меня зовут юлиана,","Меня зовут Юлиана, я из Москвы. Как вы познакомились с Алексеем? Как давно это было? Мне кажется, года 4- 5 назад. Просто в Инстаграме увидела в ленте. Зашла на Инстаграм, увидела, что он там пишет, подписалась. Потом зашла на сайт. Торо, по-моему, с нуля было. И я пошла на этот курс, и после этого всё. Надолго. Прекрасно. А подскажите, вы помимо Торо какие-то ещё курсы проходили? Да, проходила Ленарман, метафорические карты, всё такое. А как вообще изучение курсов повлияло на вашу жизнь? Может быть, деньги, отношения, ещё что-то? Есть какие-то изменения? Да, колоссальные. Вообще я зашла из-за того, что Алексей психолог сам по образованию. Я тоже психолог. И когда я посмотрела с точки зрения психологии, послушала, что он говорит. Я очень обожаю Юнга. И если бы не было этого, если бы не было у него профессионального образования, возможно, я бы вообще не зашла туда. Я зашла и влюбилась в карты. И в моей жизни, благодаря Алексею, я была у него на очных встречах. И мы так общались. Очень колоссально много вообще, что в моей жизни поменялось. И в плане денег я вышла на более уровень заработной платы. И карьеры, и личной жизни. Ну, я не знаю, это можно бесконечно говорить. И там в отношениях с семьёй, с родителями, с сыном. Ну, всё благодаря только Лёше."
Roast battle на ютубе!   https://youtu.be/LGZLl8lOI8c?si=M5K3uHOyU2paIA2j,о| roast battle,"Всем привет! Это большой, интерконтинентальный, межгалактический турнир Roast Battle Label Comp. Что мы сделали? Мы позвали классных, крутых комиков, которые весь сезон будут бороться за самый большой денежный приз в истории проекта."
"Всегда приветствую появление новых динамовских каналов/страниц/контента.   Сегодня рекомендация подписаться на динамовского болельщика из Эстонии, несмотря на все логистические сложности выбирающегося на игры Динамо.   Неординарный подход к оценке выступления футболистов на примере игры с Факелом.  Прошу!  https://dzen.ru/a/Zp98SLpeixpGBmxJ  П Динамо Москва - Факел. Подробный обзор. Статья автора «futbolofyl» в Дзене ✍: ДинамоМосква – Факел  3-1 Яркое начало Анализируем игру каждого игрока Динамо, решения тренерского штаба, работу судей и комментаторов. 🔗 https://dzen.ru/a/Zp98SLpeixpGBmxJ","rпч премьер прямоинси динамо москва - факел. подробный обзор. stich дикси religis\"" futbolofyl 71 ( ( 1 in",
"spartakoz https://t.me/spartakoz/9847    ⚡️⚡️⚡️Давно хотел сделать видеопроект о «Спартаке».   И вот с моими партнерами из Winline получилось: вашему вниманию — «Спартак Шоу»!  В первом выпуске вместе с Сабиной Ромбиновной Актериной и Свиным Рылом обсудили поражение от «Оренбурга», но еще:   • дали пару инсайдов по трансферам «Спартака»   • объяснили поведение Соболева и почему «Зенит» не хочет его брать прямо сейчас    • поговорили о Станковиче: почему у него может получиться в «Спартаке»   • разобрали межсезонье, Барко и Виллиана Жозе  • поболтали о том, что ждет «Спартак» очень скоро   • объявили розыгрыш футболки и маски Свиного Рыла, которую он впервые снял публично!  Ну и постарались разогнать печаль после кошмарного старта.   Срочно врубайте, подписывайтесь (а еще на телеграм-канал «Спартак Шоу», чтобы ничего не пропустить) и пишите комменты!  https://youtu.be/_Xl0DRIOIo0  П Старт РПЛ, Станкович, Соболев и «где Барко?» | Спартак Шоу #1 Друзья, мы запускаем Спартак Шоу! В первом выпуске обсуждаем поражение «Спартака» от «Оренбурга» в первом туре РПЛ, Станковича, Соболева, трансферы и инсайды.  Наши ведущие: Макс Никитин – https://t.me/spartakoz Сабина Актерина – https://t.me/akterinatv Антон Милёшин – https://t.me/pigesface  00:00 Первый выпуск Спартак Шоу 00:48 Деанон Свиного рыла! 01:42 Идеи Станковича не сработали. Что дальше? 05:00 Обсуждаем стартовый состав и Соболева 09:39 Почему «Спартак» не подготовился к забросам «Оренбурга»? 13:30 Подходит ли состав под Станковича? 16:30 Яркие цитаты межсезонья 24:51 Как «Спартак» нашёл Станковича? Почему не Слишкович? 32:55 Какие плюсы у нового тренера «Спартака»? 35:53 Позитивный момент в поражении от «Оренбурга» 37:40 Как тренирует Станкович? 40:55 Прогноз от суперкомпьютера 45:10 Молодые футболисты в «Спартаке» 47:35 Трансферы: где Барко? 51:29 Виллиан Жозе и лишний вес. Нужна помощь Артема Реброва 59:15 Какие позиции рассматривает «Спартак» на усиление? 01:00:30 Инсайды! 01:04:00 Покинет ли Соболев «Спартак»?  01:07:47 Вернется ли Промес в «Спартак»? 01:11:11 Прогнозы на август! 01:13:45 Могли прийти, но не пришли 🔗 https://youtu.be/_Xl0DRIOIo0",$ спартак шоу # идеи станковича где барко? соболев в старте поражение в оренбурге,
"Я вроде не садист, но мне так понравилось издеваться над людьми, что я точно буду это дело продолжать 😈😂😂  Ребят, а гляньте пожалуйста моё новое шоу, оставьте отзыв и предложите нововведения. Очень нужна обратная связь.   ШОУ ОЛЕГ ОЛЕГ ШОУ ОЛЕГ ОЛЕГ ШОУ ОЛЕГ ОЛЕГ","\"" м","Ты нас убъёшь! Это как заразит она! Ты ещё первый этаж спустишь! Я вам дам самую мощную подсказку! Блин, Серёжка! Серёжка! Подожди, Серёжка! Сядь нормально! Сядь нормально!"
"Через 10 дней лечу в Париж на Олимпийские игры! 🙏🏻😍 Почти все буду постить  в Телеге, подписывайтесь: https://t.me/Emma_figuristo4ka   Надеюсь, у меня все получится! 🙏🏻💫  P.S. И кто бы что не говорил, а все равно, по сей день,  каждая федерация и организаторы мероприятий,  прописывая  регалии того или иного спортсмена, всегда начинают с олимпийских достижений! И даже если спортсмен ничего не завоевал, гордо пишут: участник Олимпийских игр! Поэтому, и мы будем гордиться каждым спортсменом, кто доедет, выступит в Париже!!!! ❤️ Вот я на Олимпийских играх не выступала и очень об этом сожалею…  Восполняю тем, что на них работаю, но, это другое)))   📸 Дмитрий Челяпин поймал на футболе 🥰  Прикреплённые ссылки: 🔗 https://t.me/Emma_figuristo4ka",4че :,
"У моей подруги и коллеги, которой я уступила место уже в нескольких фильмах, но все также любимой и вдохновляющей вышел трек. Не слушаете, если плохое настроение.   https://music.yandex.ru/album/32209395/track/128400484?utm_medium=copy_link  П Ю-ху Anna Glaube слушать онлайн на Яндекс Музыке Anna Glaube • Трек • 2024 🔗 https://music.yandex.ru/album/32209395/track/128400484?utm_medium=copy_link",:,
"https://vk.com/wall-225813819_84  ""СРОЧНО НУЖЕН КОФЕ!""",,
"Как найти смысл жизни в момент, когда кажется, что совсем его нет? Как найти в себе силы двигаться дальше и понять — самое ценное, что есть у тебя — это ты сам!?😓  Ищите ответы в новом выпуске шоу «Открытый прием»: https://youtu.be/qVH4tWY9KWw","где искать смысл жизни, если вы его потеряли?","Во-первых, он понимал, что мне некуда идти, у меня нет родственников. И, соответственно, он мне всегда говорил, куда ты пойдёшь, ты никому не нужна. Меня это вбивал. И меня это, конечно, тоже вводило в депрессию тогда. И один раз я, получается, вскрыла себе вены из-за него. Вскрыть вены было в тот момент проще, чем уйти? Мне некуда было идти. Мне было некуда идти на планете Земля? Я просто думала, что я не смогу выжить. Мне некуда было идти. Когда он мне сказал фразу, что я тебя не любил, живу с тобой из-за детей, и ты никогда никому не будешь нужна, я переключилась тогда, это сейчас я понимаю, я тогда переключилась на своих родителей. И тогда, когда я это ощутила, я испытала это чувство, что я вообще этому миру не нужна. И просто мне нужно уйти с этого пути и не жить. А зачем жить, когда тебе больно?"
Ходили пьяные на мероприятия? @artemvinokur  (Подкаст ГАДЗИЛЫ с Женей Сидоровым) на ютуб канале,"пья н ы е з и те л и аты чувствуешь, кстати, bold дк' что люди пьяные?","А ты чувствуешь, кстати, вот в ДК, что люди пьяные каким-то образом? Ну, их обычно человек спрашивает на разыгрывании, типа, кто до этого выпил. Один раз, один раз мне выкрикнули. По-моему, один раз. Ну, и то там, знаешь, типа, был такой, когда я что-то выступаю, и мне выкрик... Я услышал момент, типа, салам алейкум, вот такое. То есть я очень рад, что я еще такой комик, что как бы меня это все не убивает, знаешь? Я знаю, что есть люди, которые выкрикнули, и они... У них инсульт случается. И такие, нет, это сейчас... Это крутая ситуация, когда он, типа, раз, и остыл."
"Таро-прогноз на 23 Июля – Туз Мечей.   🔮 Совет: Меч – это достаточное количество сил для энергичных начинаний, огромная решимость действовать, начало успешной борьбы, готовность к росту, отрыву от изначального существования. Это ситуация, когда сам человек для себя многое прояснил и знает теперь, что хочет делать дальше. Это показатель силы – физической силы, силы воли, силы, приобретенной положением и умом или в силу обстоятельств. Триумф личной силы, власти над обстоятельствами. Триумф может относиться к любой стороне жизни: к работе, любви, денежным делам, духу, любым увлекающим занятиям. Этот Туз не столько начало, но и показатель завоеванного, торжества провозглашенных взглядов и принятых решений.   💰 Деньги: Процветание. Принятие однозначных и окончательных решений в этих вопросах. Возможность улучшить качество жизни, приняв вызов.   🩷 Любовь: В области отношений Туз Мечей символизирует импульсивную первобытную силу, интенсивные «завоевательные» эмоции, крайние чувства, связанные с ситуацией или человеком. Эмоции, которым покровительствует Туз Мечей, способны воспламенить таким огнем, который сожжет все препятствия на пути к цели, попутно причинив немало вреда. Мечи вообще масть холодная, и когда на горизонте в кои-то веки появляется единственная эмоция, то она заполоняет собой всё со свойственной этой масти тотальностью.  🎁🔥 РАСПРОДАЖА КУРСА «ОРАКУЛ ЛЕНОРМАН. БАЗОВЫЙ КУРС» В РАССРОЧКУ 👉🏻 http://alexeygrishin.com/lenorman_base",,"Мои волшебные, всем привет! Желаю прекрасного дня! И давайте начнем его с вашей самой любимой рубрики. Конечно же с карты дня. Мои волшебные, всем привет! Давайте посмотрим, какая карта будет картой сегодняшнего дня. И это Туз Мичей. Что это означает? Узнать очень легко. Просто переходите по ссылке в этой сторис на мой официальный телеграм-канал и читайте новый пост про карты дня."
Можно ли прощать побои супругу?  Ответы ищите в новом выпуске шоу «Открытый прием»: https://youtu.be/qVH4tWY9KWw,можино ли прощать побои супругу?,"Кать, ты помнишь, как первый раз он тебя ударил? Да. Я была беременная первым сыном. Это была улица, это был дожд, мы возвращались домой, мы с ним поссорились, и он стал меня бить на улицу. Это вот был первый мой раз. Почему ты не ушла от него в этот же момент? Он извинился потом, он попросил прощения, я поверила, что этого больше не будет."
"comment_show https://t.me/comment_show/8012    Вот он — первый лайв нового сезона. Чемпионат России вернулся! Ждали очень сильно. Прямо очень.  Без раскачки врываемся в старый, местами добрый диалог о первом туре. Банда такая: Шнякин, Генич, Казанский, Арустямян. Стол тоже будет.   Понедельник, не забудь. Велком: youtu.be/g0KbX006Q18",1 тур рпл 22:00 коммент ростов и цска - без голов глушенков устроил жару в самаре динамо не пощадило факел спартак в своем репертуаре,
"Сумасшедшая семейка или один новый формат – добро пожаловать за кулисы! Теперь, эксклюзивно на RUTUBE, будут выходить влоги про мою жизнь. Там я расскажу о том, что не попало в фокус СМИ и социальных сетей, покажу себя в естественной среде обитания, и буквальном смысле с двумя детьми на шее)  В первом выпуске вы увидите как прошла наша гендер-пати, кого мы с Артуром ждали – мальчика или девочку, а также как на самом деле дочки отреагировали на новость о беременности.  Переходите скорее на Рутьюб, и пишите в комментариях как вам наше безудержно энергичное семейство (поддержите Артура за участие в этом мероприятии)! Ссылка в шапке профиля ❤️",,"Моя семья состоится из мужа и моих двоих детей Девочки Эй, мусь, мусь, мусь До завтрака поблагодарить А ты будешь мне целовать в своей камере? Я слышала, что когда появляется третий ребёнок, оно это легче"
"https://t.me/s/timzhur/4320  недавно в Лондоне пару свободных часов я потратил не на паб или шоппинг, а на стадионный тур. и ни в коем случае не жалею. потому что это был колоритнейший Крейвен Коттедж.   вы тоже, думаю, не пожалеете, если составите мне компанию. тем более, там разыгрывается футболка.   👉 ССЫЛКА!    Сообщение закреплено",,
"Сходил в гости к пацанам. Поговорили за деньги🤑 И не только…☺️  https://youtu.be/fc0i_aOaMns  П МИЛЛИОН ОТ ПЕРВОГО КАНАЛА | ДЕНЬГИ ОТ СПОНСОРА | ЗАРПЛАТА НА НТВ-ПЛЮС | ЛУДОМАНИЯ | МУДРАЯ ЖЕНА FoodBand доставит пиццу, роллы, лапшу, курочку, лимонад круглосуточно. Скидка до 25% на все заказы по промокоду ДЕНЬГИ в приложении FoodBand https://bit.ly/35qAaAs или на сайте https://clck.ru/3Bw2gV  Константин Генич - новый гость подкаста ""За деньги"".  Как завершить футбольную карьеру и найти себя в другом. Как Первый канал предлагал около миллиона рублей в месяц, а Константин отказал.  Как справиться с лудоманией и держать себя в руках. Как буки переманивают амбассадоров. Как встретить ту, которая будет поддерживать тебя во всем.  Вы его слушали во время финала Евро-2024, а вот вам еще 100 минут.   00:00 - Начинаем 00:10 - ""Почему Генич лучший?"" 04:29 - Про детство Константина 07:29 - Можно и поесть 10:09 - Продолжаем про детство и молодость  18:27 - Образование футболистов. Как Генич расширял свой кругозор 20:45 - Первые деньги 25:12 - Начало футбольной карьеры и увеличение заработков 27:20 - Траты на старте карьеры 30:39 - Длительные загулы 34:05 - Константин Генич - герой-любовник? 36:04 - Дает ли Константин в долг?  39:03 - Глупые вложения денег 45:42 - Первые шаги после завершения футбольной карьеры. Выход из зоны комфорта 52:54 - ""Мне повезло, что в какой-то момент я оказался рядом с Васей"" 58:40 - Футбольный клуб.  1:02:42 - Всплеск карьеры Константина. 2018 год и что предшествовало ему 1:07:05 - Тот самый репортаж ""под градусом"" из Бразилии вместе с Черданцевым 1:09:48 - Вернемся в 2018. Как его провел Генич. Увеличение заработка, предложение от Первого канала и обещания, которым не суждено было сбыться 1:17:40 - Ставки и лудомания 1:27:01 - Как Константин относится к рекламе букмекеров, будучи амбассадором одного из них 1:29:38 - Про доходы, гонорары, спонсоров и переманивания в сфере букмекеров 1:34:15 - История знакомства с женой и отношения спустя 15 лет успешного брака 1:39:40 - Завершение 🔗 https://youtu.be/fc0i_aOaMns",за дене * * ы * ; х конотантин генич,
"Утро не могло стать горячее, но именно сегодня вышла «Дерзкая готовка» с Оксаной Самойловой – как никогда вовремя 🔥  В начале выпуска специально для моего YouTube-канала Оксана дала эксклюзивный комментарий, в котором в деталях и со спойлерами рассказала о своих эмоциях после участия в своем первом реалити «Выжить в Дубае: Возвращение» 🙈  Коснулись темы отношений с Викторией Боней после съемок, рейтингов, азарта...  А ещё Оксана объяснила, почему зрителям не получится понять юмор звездной команды 🤨  Всё с пылу с жару! Одно из самых насыщенных интервью... Скорее переходите по ссылке, чтобы посмотреть новый выпуск шоу 👏💥  © Ляйсан Утяшева",оксана самойлова,"Этот сезон разорвал все мыслимые и немыслимые рейтинги. А мы пришли просто прорываться в игру. Ну и первичная задача – это сделать шоу. Звезда Ютуба, звезда сетей пришла Оксана Самойлова. У меня бывают кулинарные припадки. Дети обожают мои кулинарные припадки. Поэтому я была относительно счастливым ребёнком. Радовалась этим проявлением? Да, радовалась тому, что есть, другого не знала. У меня мама до 9 класса, до выпускного не знала, что я плохо учусь. Я приехала в Москву, ой, я не модная, мне вообще пофиг. Всё твоё прошлое вело тебя в черта к джигаду, правильно я понимаю? Походу на то. Он такой, я сейчас тебя заберу. Я говорю, ну окей. И всё. И на следующий день мы начали жить вместе. Для меня материнство – это несложно. Я кайфую, вот прям искренне кайфую от материнства. Не бойтесь своих желаний, не бойтесь действовать. И не бойтесь воплощать свои мечты."
"Послание от Вселенной на новую неделю 💫  Чтобы принять это послание и воплотить его в жизнь, напишите в комментариях: ПРИНИМАЮ!  🎁🔥 РАСПРОДАЖА КУРСА «ОРАКУЛ ЛЕНОРМАН. БАЗОВЫЙ КУРС» В РАССРОЧКУ 👉🏻 http://alexeygrishin.com/lenorman_base",вселенная говорит «научитесь говорить слово «нет» и ставить себя на первое место в своей жизни. вы ~ самый важный человек. вселенная вам поможет» принимаешь? alexeygrishin.com,
"Сегодня исполнилось 87 лет  со дня рождения Эдуарда Стрельцова, возможно, самого талантливого футболиста, который рождался в нашей стране.   4 года назад мы делали о Стрельцове небольшое кино. Там очень мало про историю на даче, которая обернулась для Стрельцова тюрьмой. Гораздо больше - про масштаб таланта и личности Эдуарда.   И еще - про фильм «Стрельцов», который тогда только вышел на экраны и мгновенно подвергся пламенной критике. В этом фильме снялся мой товарищ Денис Казанский. Мы поговорили и с ним, и с режиссером картины Ильей Учителем. А еще - с Юрием Семиным, который играл против Стрельцова. С другом Стрельцова Михаилом Гершковичем. Со Станиславом Гридасовым, подробно изучавшим материалы дела. И с Александром Шмурновым, яростно раскритиковавшим фильм.  https://youtu.be/hrmxQdd7taA?si=EZUuvZsBRzYZ2vRO  П Что мы знаем о Стрельцове? Кем он был для мирового футбола? Каким он показан в фильме ""Стрельцов""? Эдуард Стрельцов - возможно, главный талант русского футбола. Уже в 17 он дебютировал за сборную СССР, оформив хет-трик в игре против Швеции. В 18 стал лучшим бомбардиром Чемпионата Советского Союза. А еще спустя год - Олимпийским Чемпионом.  Спустя 2 года, он должен был ехать на Чемпионат Мира в качестве главной звезды советской сборной, но за день до отъезда на турнир был арестован по обвинению в изнасиловании. Какой могла получиться карьера Стрельцова, если бы не 5 лет в тюрьме и 2 года отлучения от футбола? Какие качества позволили Стрельцову, спустя 7 лет, вернуться в футбольный топ и дважды стать лучшим игроком СССР? В чем был феномен популярности Стрельцова? Что такое стрельцовская пятка? И реально ли представить Стрельцова в современном футболе?  Мы поговорили с людьми, которые знали Стрельцова, играли против него или следили за его карьерой. Мы встретились с режиссером фильма ""Стрельцов"" Ильей Учителем и поговорили с ним о критике сценарных нестыковок и исторических неточностей. Каким был показан в фильме Стрельцов, и похоже ли это на правду? Смог ли Александр Петров передать образ легендарного игрока? Каким увидели фильм те, кто знал Стрельцова и те, кто следил за его карьерой?  Этот фильм - дань памяти легенде советского футбола и его игре.  О Стрельцове говорили: Юрий Семин - играл против Стрельцова Михаил Гершкович - играл и дружил со Стрельцовым Геннадий Орлов - видел игру Стрельцова Александр Шмурнов - рос на рассказах о Стрельцове Илья Учитель - снял фильм о Стрельцове Денис Казанский - сыграл в фильме о Стрельцове Станислав Гридасов - изучал историю Стрельцова  ПС. Большой подкаст Станислава Гридасова, посвященный Эдуарду Стрельцову, можно послушать по ссылке: https://www.youtube.com/watch?v=d3Ho0b0pRng&t=1810s   Мой ingram https://www.ingram.com/mossakovskiy Мой Twitter https://twitter.com/mossakovskiy Мой Telegram канал https://t-do.ru/mossakovskiy  Что мы знаем о Стрельцове? Кем он был для мирового футбола? Каким он показан в фильме ""Стрельцов""? https://youtu.be/hrmxQdd7taA 🔗 https://youtu.be/hrmxQdd7taA?si=EZUuvZsBRzYZ2vRO",ссс ссср сср что мы знаем о стрельцове?,
